fecha,delito,x,y,colonia,municipio,clave_mun,hora,bien_afectado,zona_geografica
2024-11-14,Violencia familiar,-103.35091647674297,20.7702937389792,LA MESA COLORADA PONIENTE,ZAPOPAN,120,00:05,La familia,AMG
2024-11-15,Violencia familiar,-103.4528379281828,20.712868112377564,SAN JUAN DE OCOTAN,ZAPOPAN,120,02:45,La familia,AMG
2024-10-01,Violencia familiar,-103.3496254459402,20.768014037283116,LA MESA COLORADA PONIENTE,ZAPOPAN,120,08:00,La familia,AMG
2024-10-28,Violencia familiar,-103.45860626796396,20.71063414035494,SAN JUAN DE OCOTAN,ZAPOPAN,120,09:36,La familia,AMG
2024-10-11,Violencia familiar,-103.3439287565241,20.772547991462595,LA MESA COLORADA PONIENTE,ZAPOPAN,120,10:00,La familia,AMG
2024-11-14,Violencia familiar,-103.50446584211052,20.79269351977511,PRADOS DE NEXTIPAC 2a SECCION,ZAPOPAN,120,11:00,La familia,AMG
2024-11-28,Violencia familiar,-103.34928481148162,20.77461393387761,LA MESA COLORADA PONIENTE,ZAPOPAN,120,13:00,La familia,AMG
2024-12-16,Violencia familiar,-103.45797611118668,20.701568430396293,SAN JUAN DE OCOTAN,ZAPOPAN,120,14:00,La familia,AMG
2024-11-07,Violencia familiar,-103.37249372610457,20.796632424054103,SAN ESTEBAN,ZAPOPAN,120,15:00,La familia,AMG
2024-10-21,Violencia familiar,-103.45517488886216,20.70680053931016,SAN JUAN DE OCOTAN,ZAPOPAN,120,17:00,La familia,AMG
2024-10-07,Violencia familiar,-103.3493798143684,20.772058490390982,LA MESA COLORADA PONIENTE,ZAPOPAN,120,18:00,La familia,AMG
2024-11-26,Violencia familiar,-103.4526686641826,20.707789782719512,SAN JUAN DE OCOTAN,ZAPOPAN,120,18:30,La familia,AMG
2024-10-10,Violencia familiar,-103.49167084997396,20.79360231531292,EL HUMEDO DE NEXTIPAC,ZAPOPAN,120,20:00,La familia,AMG
2024-10-27,Violencia familiar,-103.50788396341548,20.791852802268668,PRADOS DE NEXTIPAC 2a SECCION,ZAPOPAN,120,20:00,La familia,AMG
2024-12-10,Violencia familiar,-103.52287845326656,20.766312232569483,NEXTIPAC,ZAPOPAN,120,20:30,La familia,AMG
2024-11-01,Violencia familiar,-103.45517488886216,20.70680053931016,SAN JUAN DE OCOTAN,ZAPOPAN,120,22:25,La familia,AMG
2024-10-28,Violencia familiar,-103.50993797082184,20.788672414300464,PRADOS DE NEXTIPAC 2a SECCION,ZAPOPAN,120,22:30,La familia,AMG
2024-10-28,Violencia familiar,-103.50545588440838,20.792980515223785,PRADOS DE NEXTIPAC 2a SECCION,ZAPOPAN,120,23:30,La familia,AMG
2024-11-20,Violencia familiar,-103.45532140156368,20.71034297672061,SAN JUAN DE OCOTAN,ZAPOPAN,120,N.D.,La familia,AMG
2024-11-20,Violencia familiar,-103.34390747005372,20.769214592064785,LA MESA COLORADA PONIENTE,ZAPOPAN,120,N.D.,La familia,AMG
2025-02-19,Violencia familiar,-103.34288085642405,20.769999597522872,LA MESA COLORADA PONIENTE,ZAPOPAN,120,17:00,La familia,AMG
2025-02-27,Violencia familiar,-103.45157807689796,20.715910093189954,SAN JUAN DE OCOTAN,ZAPOPAN,120,11:00,La familia,AMG
2025-03-09,Violencia familiar,-103.44772166141873,20.70710387601705,SAN JUAN DE OCOTAN,ZAPOPAN,120,03:00,La familia,AMG
