ID,Clee,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
1639227,14120611182000053000000000U4,CENTRO DE ATENCION MULTIPLE SAN JUAN DE OCOTAN,SECRETARIA DE EDUCACION JALISCO ,611182,Escuelas del sector público de educación para necesidades especiales,6 a 10 personas,CALLE,HIDALGO,PRIVADA,NINGUNO,PRIVADA,NINGUNO,CALLE,PARRAL,87.0,,,,,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,29,,,,Fijo,20.70650907,-103.45336185,2010-07
6339064,14120611171000255001062844M0,COLEGIO FRANCO MEXICANO,COLEGIO FRANCO MEXICANO AC,611171,Escuelas del sector privado que combinan diversos niveles de educación,101 a 250 personas,CALLE,FRANCISCO VILLA,PRIVADA,NINGUNO,CALLE,CAMINO ARENERO,CALLE,CONCORDIA,235.0,,,,,,COLONIA,EL BAJIO,,EL BAJIO,SN,45019,14,JALISCO,120,Zapopan,1,Zapopan,397A,7,,RRHH@CFM.EDU.MX,WWW.CFM.EDU.MX,Fijo,20.70207489,-103.46786787,2011-03
1703388,14120611111002351000000000U1,COLEGIO JEAN PIAGET,,611111,Escuelas de educación preescolar del sector privado,6 a 10 personas,CALLE,EJIDO,CALLE,EMILIANO ZAPATA,CALLE,JUAREZ,CALLE,JUAREZ,5.0,,,,0.0,,COLONIA,NEXTIPAC,,,,45220,14,JALISCO,120,Zapopan,139,Nextipac,5980,1,3345061407.0,,,Fijo,20.76641389,-103.52447443,2014-12
1639055,14120611111000041011000000U0,COLEGIO MONTESSORI,,611171,Escuelas del sector privado que combinan diversos niveles de educación,11 a 30 personas,CALLE,OCAMPO,CALLE,INDEPENDENCIA,CALLE,16 DE SEPTIEMBRE,CALLE,SAN FRANCISCO,175.0,,,,0.0,,COLONIA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,16,3311458223.0,,,Fijo,20.70819513,-103.45503445,2010-07
1639243,14120611162000056000000000U1,ESCUELA PREPARATORIA NO 15,U DE G CCT 14VH0025P ,611162,Escuelas de educación media superior del sector público,101 a 250 personas,CALLE,5 DE MAYO,CALLE,PARRAL,CALLE,ANILLO PERIFERICO NORTE MANUEL GOMEZ MORIN,PRIVADA,LAURELES,1.0,,,,,,MANZANA,SAN JUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,40,,,PREPA15.SEMS.UDG.MX,Fijo,20.71085641,-103.4434053,2010-07
1639144,14120611122001643000000000U9,ESCUELA PRIMARIA EMILIANO ZAPATA TM 14DPR35965,SECRETARIA DE EDUCACION JALISCO ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,FRANCISCO I MADERO,PRIVADA,HIDALGO,PRIVADA,FRANCISCO I. MADERO,CALLE,FRANCISCO I. MADERO,86.0,,,,,,COLONIA,SANJUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,48,,,,Fijo,20.70215241,-103.45368234,2010-07
1638964,14120611122001593000000000U6,ESCUELA PRIMARIA JESUS GONZALEZ GALLO CCT 14DPR2160A,PRIMARIA JESUS GONZALEZ GALLO T V ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,LIBERTAD,CALLE,5 DE MAYO,CALLE,ANGULO,CALLE,SONORA,230.0,,,,0.0,,MANZANA,SAN JUAN OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,26,,,,Fijo,20.71279976,-103.45277438,2010-07
1707206,14120611122003263000000000U4,ESCUELA PRIMARIA MARGARITA MAZA DE JUAREZ,14DPR2324U SECRETARIA DE EDUCACION PUBLICA ,611122,Escuelas de educación primaria del sector público,6 a 10 personas,CALLE,HIDALGO,CALLE,MARGARITA MAZA DE JUAREZ,CALLE,LA PAZ,CALLE,EMILIANO ZAPATA,154.0,,,,0.0,,PUEBLO,SAN ESTEBAN,,,,45205,14,JALISCO,120,Zapopan,206,San Esteban (San Miguel Tateposco),5054,1,,,,Fijo,20.79666912,-103.37433519,2014-12
1639145,14120611122002463000000000U1,ESCUELA PRIMARIA TIERRA Y LIBERTAD (TURNO VESPERTINO),SECRETARIA DE EDUCACION JALISCO ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,FRANCISCO I MADERO,PRIVADA,HIDALGO,PRIVADA,FRANCISCO I. MADERO,CALLE,HIDALGO,86.0,,,,0.0,,COLONIA,SANJUAN DE OCOTAN,,,,45019,14,JALISCO,120,Zapopan,1,Zapopan,0617,48,,,,Fijo,20.70215241,-103.45368234,2010-07
1872322,14120611122000883000000000U2,ESCUELA PRIMARIA URBANA 1055 MAGISTERIO NACIONAL 14EPR1502Z TM,SECRETARIA DE EDUCACION JALISCO ,611122,Escuelas de educación primaria del sector público,11 a 30 personas,CALLE,CHICHEN ITZA,CALLE,NAHAI,CALLE,DELLI,CALLE,ADOLFO RODRIGUEZ,10.0,,,,0.0,,COLONIA,LA MESA COLORADA PONIENTE,,,,45189,14,JALISCO,120,Zapopan,1,Zapopan,2810,35,,,,Fijo,20.77475011,-103.34471877,2010-07
